"Lower Frequency";"Upper Frequency";"RR Region 1 Allocation and RR footnotes applicable to CEPT";"RR Region 1 frequency range footnotes";"European Common Allocation and ECA footnotes";"ECA frequency range footnotes";"ECC/ERC harmonisation measure";"Applications";"Standard";"Notes"
"123 GHz";"130 GHz";"FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE-SATELLITE (SPACE-TO-EARTH), RADIONAVIGATION, RADIONAVIGATION-SATELLITE, Radio Astronomy";"5.149, 5.554";"FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE-SATELLITE (SPACE-TO-EARTH), RADIONAVIGATION, RADIONAVIGATION-SATELLITE, Radio Astronomy";"5.149, 5.554";"";"Radio astronomy";"";"Continuum and spectral line observations"
"123 GHz";"130 GHz";"FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE-SATELLITE (SPACE-TO-EARTH), RADIONAVIGATION, RADIONAVIGATION-SATELLITE, Radio Astronomy";"5.149, 5.554";"FIXED-SATELLITE (SPACE-TO-EARTH), MOBILE-SATELLITE (SPACE-TO-EARTH), RADIONAVIGATION, RADIONAVIGATION-SATELLITE, Radio Astronomy";"5.149, 5.554";"ECC/DEC/(22)03";"Radiodetermination applications";"EN 303 883";""
"130 GHz";"134 GHz";"EARTH EXPLORATION-SATELLITE (ACTIVE)(5.562E), FIXED, INTER-SATELLITE, MOBILE(5.558), RADIO ASTRONOMY";"5.149, 5.562A";"EARTH EXPLORATION-SATELLITE (ACTIVE)(5.562E), FIXED, INTER-SATELLITE, MOBILE(5.558), RADIO ASTRONOMY";"5.149, 5.562A";"ECC/REC/(18)01";"Fixed";"";""
"130 GHz";"134 GHz";"EARTH EXPLORATION-SATELLITE (ACTIVE)(5.562E), FIXED, INTER-SATELLITE, MOBILE(5.558), RADIO ASTRONOMY";"5.149, 5.562A";"EARTH EXPLORATION-SATELLITE (ACTIVE)(5.562E), FIXED, INTER-SATELLITE, MOBILE(5.558), RADIO ASTRONOMY";"5.149, 5.562A";"";"Radio astronomy";"";"Continuum and spectral line observations"
"130 GHz";"134 GHz";"EARTH EXPLORATION-SATELLITE (ACTIVE)(5.562E), FIXED, INTER-SATELLITE, MOBILE(5.558), RADIO ASTRONOMY";"5.149, 5.562A";"EARTH EXPLORATION-SATELLITE (ACTIVE)(5.562E), FIXED, INTER-SATELLITE, MOBILE(5.558), RADIO ASTRONOMY";"5.149, 5.562A";"ECC/DEC/(22)03";"Radiodetermination applications";"EN 303 883";""
"134 GHz";"136 GHz";"AMATEUR, AMATEUR-SATELLITE, Radio Astronomy";"";"AMATEUR, AMATEUR-SATELLITE, Radio Astronomy";"";"";"Amateur";"";"Within the band 134-141 GHz"
"134 GHz";"136 GHz";"AMATEUR, AMATEUR-SATELLITE, Radio Astronomy";"";"AMATEUR, AMATEUR-SATELLITE, Radio Astronomy";"";"";"Amateur-satellite";"";"Within the band 134-141 GHz"
"134 GHz";"136 GHz";"AMATEUR, AMATEUR-SATELLITE, Radio Astronomy";"";"AMATEUR, AMATEUR-SATELLITE, Radio Astronomy";"";"";"Radio astronomy";"";"Continuum and spectral line observations"
"134 GHz";"136 GHz";"AMATEUR, AMATEUR-SATELLITE, Radio Astronomy";"";"AMATEUR, AMATEUR-SATELLITE, Radio Astronomy";"";"ECC/DEC/(22)03";"Radiodetermination applications";"EN 303 883";""
"136 GHz";"141 GHz";"RADIO ASTRONOMY, RADIOLOCATION, Amateur, Amateur-Satellite";"5.149";"RADIO ASTRONOMY, RADIOLOCATION, Amateur, Amateur-Satellite";"5.149";"";"Amateur";"";"Within the band 134-141 GHz"
